,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
1,28355799,Shared room,30,4.5,4,1,91,53.405035,-6.214002
2,50271092,Shared room,2,0,3,1,52,53.350711,-6.241394
3,7202989,Shared room,1,0,3,1,59,53.382228,-6.22899
4,117464939,Shared room,0,0,4,1,480,53.358454,-6.258635
5,121467697,Shared room,0,0,6,1,240,53.344325,-6.266974
6,94037946,Shared room,6,4.5,3,1,192,53.342124,-6.293449
7,7289423,Shared room,0,0,1,1,180,53.351972,-6.276468
8,66901116,Shared room,0,0,6,1,168,53.345697,-6.377925
9,107473466,Shared room,2,0,2,1,144,53.408879,-6.172057
10,40031291,Shared room,2,0,2,1,106,53.344543,-6.237232
11,120903497,Shared room,0,0,1,1,108,53.351463,-6.264928
12,30205062,Shared room,1,0,2,1,119,53.345016,-6.278531
13,134825469,Shared room,0,0,4,1,119,53.305888,-6.355143
14,12035918,Shared room,1,0,1,1,108,53.34712,-6.255543
15,24625492,Shared room,1,0,2,1,114,53.351271,-6.269951
16,134825469,Shared room,0,0,3,1,90,53.305411,-6.35764
17,96187081,Shared room,6,3,1,1,96,53.364635,-6.263913
18,35657746,Shared room,1,0,2,1,66,53.377708,-6.275603
19,118349440,Shared room,23,4,2,1,66,53.348009,-6.261053
20,20051649,Shared room,2,0,2,1,72,53.35137,-6.272
21,138489338,Shared room,0,0,2,1,72,53.370229,-6.269064
22,50271092,Shared room,1,0,2,1,66,53.352022,-6.241245
23,15061499,Shared room,58,5,2,1,78,53.385205,-6.141895
24,4507331,Shared room,54,3.5,2,1,65,53.385668,-6.216431
25,29088762,Shared room,17,4.5,2,1,63,53.352537,-6.274004
26,112252978,Shared room,0,0,2,1,78,53.306957,-6.301651
27,95841218,Shared room,2,0,2,1,66,53.268216,-6.244731
28,15442620,Shared room,3,5,2,1,64,53.357678,-6.269955
29,14012859,Shared room,0,0,1,1,66,53.34448,-6.265413
30,140139099,Shared room,0,0,2,1,72,53.357375,-6.267832
31,69334097,Shared room,6,5,2,1,42,53.35754,-6.260034
32,28355799,Shared room,21,4.5,1,1,42,53.403695,-6.213805
33,28355799,Shared room,14,4,3,1,42,53.404966,-6.212276
34,22192878,Shared room,16,4.5,3,1,42,53.39411,-6.219691
35,28355799,Shared room,17,4.5,4,1,54,53.403248,-6.21378
36,85514505,Shared room,0,0,14,1,48,53.38708,-6.254613
37,31337205,Shared room,19,4,4,1,44,53.359421,-6.257702
38,12076665,Shared room,6,4,1,1,45,53.352005,-6.274785
39,28355799,Shared room,30,4.5,3,1,42,53.3986,-6.198308
40,27706477,Shared room,0,0,1,1,50,53.338295,-6.275117
41,34221459,Shared room,0,0,3,1,48,53.255032,-6.174495
42,44016841,Shared room,0,0,1,1,60,53.299668,-6.200725
43,31337205,Shared room,10,4.5,2,1,44,53.359977,-6.258351
44,117464939,Shared room,0,0,4,1,60,53.358996,-6.257327
45,86550971,Shared room,29,4,2,1,50,53.358119,-6.257537
46,95992820,Shared room,2,0,1,1,46,53.384913,-6.413478
47,71862772,Shared room,6,3,2,1,43,53.353604,-6.268511
48,9767829,Shared room,0,0,12,1,59,53.360385,-6.263025
49,105956652,Shared room,0,0,1,1,44,53.339593,-6.272206
50,42904666,Shared room,3,4.5,2,1,60,53.34251,-6.234835
51,43103292,Shared room,17,4,12,1,59,53.35824,-6.260969
52,30021630,Shared room,16,4.5,3,1,43,53.344959,-6.28073
53,54175148,Shared room,3,5,2,1,60,53.34445,-6.263341
54,118349440,Shared room,5,4.5,2,1,60,53.35986,-6.259903
55,22625492,Shared room,4,5,4,1,48,53.374346,-6.270194
56,34453294,Shared room,4,4.5,2,1,60,53.352858,-6.250392
57,119510454,Shared room,6,4.5,2,1,60,53.351685,-6.277903
58,3683952,Shared room,34,4.5,2,1,60,53.371845,-6.251118
59,83815367,Shared room,39,5,1,1,54,53.345599,-6.237572
60,32002944,Shared room,1,0,1,1,60,53.341154,-6.231797
61,31610538,Shared room,0,0,2,1,48,53.331886,-6.269628
62,41983221,Shared room,31,4.5,2,1,60,53.349038,-6.259855
63,1847328,Shared room,3,5,2,1,48,53.295668,-6.179003
64,42819993,Shared room,1,0,1,1,60,53.362348,-6.257221
65,14012859,Shared room,8,4,1,1,54,53.344727,-6.263955
66,107164896,Shared room,5,4.5,2,1,62,53.365517,-6.291996
67,50271092,Shared room,2,0,3,1,24,53.332176,-6.291389
68,24944720,Shared room,0,0,1,1,18,53.342218,-6.275914
69,75519919,Shared room,0,0,1,1,13,53.339757,-6.27275
70,20565709,Shared room,3,3.5,1,1,30,53.33449,-6.289886
71,50271092,Shared room,2,0,3,1,27,53.350888,-6.243155
72,32496256,Shared room,2,0,1,1,24,53.347821,-6.282127
73,6711430,Shared room,3,4,1,1,38,53.354174,-6.274554
74,43261745,Shared room,0,0,1,1,13,53.339476,-6.273174
75,53142705,Shared room,0,0,1,1,16,53.32913,-6.266179
